artist,is_explicit
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Metro Boomin,True
"Tyler, The Creator",True
Peso Pluma & Natanael Cano,True
Yandel,True
Lil Durk & J. Cole,True
Morgan Wallen,True
David Guetta & Bebe Rexha,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Tom Odell,True
The Weeknd,True
Eminem,True
Chino Pacas,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Metro Boomin,True
"Tyler, The Creator",True
Yandel,True
Peso Pluma & Natanael Cano,True
David Guetta & Bebe Rexha,True
Morgan Wallen,True
Lil Durk & J. Cole,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Tom Odell,True
The Weeknd,True
Eminem,True
Chino Pacas,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Metro Boomin,True
Yandel,True
"Tyler, The Creator",True
Peso Pluma & Natanael Cano,True
Morgan Wallen,True
Lil Durk & J. Cole,True
David Guetta & Bebe Rexha,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Tom Odell,True
The Weeknd,True
Eminem,True
Lil Mabu,True
Bad Bunny,True
Yng Lvcas & Peso Pluma,True
Feid & Young Miko,True
KAROL G,True
Yandel,True
Peso Pluma & Natanael Cano,True
Metro Boomin,True
"Tyler, The Creator",True
Morgan Wallen,True
Lil Durk & J. Cole,True
David Guetta & Bebe Rexha,True
Post Malone,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
The Weeknd,True
Tom Odell,True
Eladio Carrion,True
Bad Bunny,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Peso Pluma & Natanael Cano,True
Yandel,True
Metro Boomin,True
"Tyler, The Creator",True
Fuerza Regida,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Morgan Wallen,True
David Guetta & Bebe Rexha,True
Lil Durk & J. Cole,True
The Weeknd,True
Tom Odell,True
Bad Bunny,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Peso Pluma & Natanael Cano,True
"Tyler, The Creator",True
Fuerza Regida,True
Metro Boomin,True
Yandel,True
Morgan Wallen,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Lil Durk & J. Cole,True
David Guetta & Bebe Rexha,True
The Weeknd,True
Tom Odell,True
Chino Pacas,True
Bad Bunny,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
"Tyler, The Creator",True
Metro Boomin,True
Fuerza Regida,True
Yandel,True
Peso Pluma & Natanael Cano,True
Morgan Wallen,True
Lil Durk & J. Cole,True
David Guetta & Bebe Rexha,True
The Weeknd,True
Tom Odell,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
Beyoncé & Kendrick Lamar,True
Bad Bunny,True
Yng Lvcas & Peso Pluma,True
KAROL G,True
Feid & Young Miko,True
Metro Boomin,True
"Tyler, The Creator",True
Fuerza Regida,True
Yandel,True
Peso Pluma & Natanael Cano,True
Lil Durk & J. Cole,True
Morgan Wallen,True
David Guetta & Bebe Rexha,True
Tom Odell,True
Natanael Cano & Peso Pluma & Gabito Ballesteros,True
The Weeknd,True
Beyoncé & Kendrick Lamar,True
